1,0.1093372029134095_0.4480313043106843
2,0.007338193860346493_0.9818935272788505
3,0.01669666914121364_0.9808535427529267
4,0.185155656099127_0.2583374482477812
5,0.0001581835335352215_0.2463032079866072
6,0.01163392300193043_0.9997619538747285
7,0.001925785527126878_0.7501136965315877
8,0.07372973396135134_0.5985351815165973
9,0.06404297810740232_0.6506664633401802
10,0.004117536367987715_0.9059021808214626
11,0.008017353883871974_0.988655591817782
12,7.868837271395168e-06_0.03284672651289177
13,0.0244158067204674_0.9271099308800386
14,1.258789499839333e-06_0.007480949530636002
15,3.855586819081159e-05_0.102730116593331
16,0.5732521652094893_0.02274680097709245
17,0.4187489593527012_0.05935469660134842
18,0.05266162330845119_0.7196851869155427
19,0.01906665447250679_0.966061500344766
20,0.01081477249087136_0.9999201847624832
21,0.0006355039623145417_0.4963444588658119
22,0.07471865805824654_0.5935256045430068
23,0.07458597271035243_0.5941945377314913
24,0.9985235524535646_8.880045319828184e-05
25,0.2216560183373775_0.202297564798294
26,0.615881241634791_1.272775286746573e-07
27,0.0002652392257570166_0.3262837379692753
28,0.001418353365151281_0.679445897196124
29,0.4581855349824063_0.04666999210071213
30,0.001075263578418178_0.6149012411540131
31,0.0007005027663182_0.5176223760377174
32,0.001344810337365138_0.6670202375707254
33,0.9938845660678564_6.271901997026419e-05
34,0.4535598950207278_0.04800855603787059
35,0.004830483596762805_0.9317755744511829
36,0.7593854856296631_0.006104160623031091
37,0.9998610686459213_0.0001116326885906446
38,0.002401032388829612_0.7993157172647365
39,0.00776852384724139_0.9864168088817507
40,0.05494677123320442_0.7051083866583542
41,0.06391520188890837_0.6513929950955228
42,0.1585112889253842_0.3110411573962366
43,0.9265416261991514_1.016684249205567e-05
44,0.1960607110323024_0.2398831293876579
45,0.03104672829062109_0.8754255441873448
46,0.7610408648137926_8.481577804895664e-07
47,0.9893603891391561_0.0002905288429869288
48,0.01848141598590922_0.9699204963593161
49,0.1241353248385696_0.3999737211603543
50,9.973601251254536e-05_0.1881190872005128
51,0.002685389261662269_0.8233274258330717
52,0.0001048240133156628_0.1938230404542454
53,0.9338240488229926_0.0009911398767009313
54,0.2293634209347437_0.1923426017647056
55,0.9273335574861551_1.031913549588336e-05
56,0.9824313779600468_3.848920137635687e-05
57,0.1990556654243627_1.017102277850855e-10
58,0.01445688425166065_0.9920874652305991
59,0.6118985107626057_0.01767719982327989
60,0.0002389650453767289_0.3088565612258844
61,0.1303156400243659_0.3818471347781108
62,0.06914549373167798_0.6224969165941194
63,8.144838212591665e-05_0.1662595292679206
64,0.6022602057144331_1.063663243905069e-07
65,0.9998726442181447_0.0001121115847427375
66,0.9999993324635162_0.0001225570333831289
67,2.320750445376191e-05_0.07254248180674923
68,0.008686591959892553_0.9934764462982965
69,0.1586313857367773_0.3107759218690019
70,0.1722657873626829_0.282369068945213
71,1.349332808028116e-05_0.0491650454514335
72,5.08483134481728e-06_0.02342981755614948
73,2.161920116836586e-05_0.06901384935633677
74,0.2185211766282613_0.2065142828731351
75,0.02060571911753972_0.9554257115629208
76,0.01978184195423217_0.9611988612534663
77,0.004212178087948006_0.9097770184651783
78,0.05250736441686156_0.7206826233475777
79,0.1293862627519795_0.3845058292396815
80,0.03841177971697925_0.8190266582711911
81,0.0002407534580637233_0.3100806413381426
82,5.394730570749789e-07_0.003590519814837386
83,0.005439046121236498_0.948784923370075
84,0.02385707309022927_0.931380023283751
85,0.001058197327841633_0.6111921750196894
86,0.04259149175443171_0.7884041127051105
87,7.342328439381137e-06_0.03115343623773718
88,0.0002175432184927041_0.2937226334536809
89,0.2078867882887484_0.2215919608855579
90,0.06622364529246121_0.6384282001368765
91,8.093742319129229e-05_0.1656146133380085
92,0.003216201484754512_0.8601842570112135
93,0.003162398731577762_0.8568475009011812
94,0.4336605301727369_0.05420468441163841
95,0.005464210049034878_0.9494052320613831
96,0.001122783082187537_0.624944510964335
97,0.06127517551365309_0.6666423072477314
98,0.1360419090428976_0.3659648833260855
99,0.01905614802751255_0.9661317815867106
100,0.1505598892546083_0.3292345176313227
